timestamp,frame_number,time_seconds,object_class,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_width,bbox_height,bbox_center_x,bbox_center_y,location_lat,location_lng
2023-11-05 09:50:14,88,3.03,car,0.707,154.4,275.1,258.4,319.1,104.0,44.0,206.4,297.1,-17.37208408932763,-66.16232854125553
2023-12-09 13:29:11,52,1.79,car,0.797,252.3,248.0,347.3,323.0,95.0,75.0,299.8,285.5,-17.371418560746424,-66.1632112687918
2024-01-22 16:29:48,119,4.1,car,0.91,322.4,369.0,451.4,414.0,129.0,45.0,386.9,391.5,-17.37135043052816,-66.16192908848659
2024-02-13 16:08:55,72,2.48,car,0.894,720.5,261.0,814.5,331.0,94.0,70.0,767.5,296.0,-17.372476782232596,-66.16326948002762
2024-02-25 15:46:57,252,8.69,car,0.772,213.0,233.1,317.0,277.1,104.0,44.0,265.0,255.1,-17.37193372895205,-66.16184405619964
2024-02-26 15:38:41,145,5.0,car,0.651,459.6,272.1,592.6,315.1,133.0,43.0,526.1,293.6,-17.372423434764816,-66.16336936224644
2024-02-27 17:08:02,70,2.41,car,0.95,600.1,382.4,720.1,426.4,120.0,44.0,660.1,404.4,-17.37251175677358,-66.16329933931347
2024-02-28 10:30:36,4,0.14,car,0.5,141.0,358.6,268.0,423.6,127.0,65.0,204.5,391.1,-17.37272451412465,-66.16294351582317
2024-03-10 10:55:36,359,12.38,car,0.76,174.0,261.0,278.0,305.0,104.0,44.0,226.0,283.0,-17.372382465021797,-66.16190192608764
2024-03-12 16:37:50,125,4.31,car,0.833,702.9,289.4,796.9,359.4,94.0,70.0,749.9,324.4,-17.37174508423548,-66.16335377188909
2024-03-17 10:57:29,273,9.41,car,0.803,613.7,275.9,704.7,352.9,91.0,77.0,659.2,314.4,-17.372026034223644,-66.16265600714912
2024-03-24 18:21:13,229,7.9,car,0.664,423.9,339.2,531.9,415.2,108.0,76.0,477.9,377.2,-17.371982386014327,-66.16286687039435
2024-03-26 18:21:57,85,2.93,car,0.844,8.6,355.4,103.6,421.4,95.0,66.0,56.1,388.4,-17.372024903976783,-66.16235681131323
2024-03-27 13:15:13,159,5.48,car,0.799,85.9,257.3,204.9,310.3,119.0,53.0,145.4,283.8,-17.372108280913288,-66.16300985387501
2024-03-30 15:50:33,337,11.62,car,0.95,299.0,273.0,387.0,333.0,88.0,60.0,343.0,303.0,-17.371967504925536,-66.16327613074961
2024-04-14 16:38:35,101,3.48,car,0.59,546.1,208.2,634.1,286.2,88.0,78.0,590.1,247.2,-17.371718600787588,-66.16197063782712
2024-04-15 22:57:59,51,1.76,car,0.663,374.9,284.3,507.9,327.3,133.0,43.0,441.4,305.8,-17.37270793793234,-66.16269111408596
2024-04-23 12:33:42,41,1.41,car,0.662,176.4,330.9,290.4,393.9,114.0,63.0,233.4,362.4,-17.37169154263504,-66.16222933894903
2024-04-27 16:44:21,215,7.41,car,0.844,98.7,401.2,222.7,478.2,124.0,77.0,160.7,439.7,-17.372300916704233,-66.16310843211687
2024-04-29 14:43:50,348,12.0,car,0.5,22.7,403.2,114.7,469.2,92.0,66.0,68.7,436.2,-17.372236157898172,-66.16317803272915
2024-05-04 20:16:40,10,0.34,car,0.761,78.7,382.2,202.7,459.2,124.0,77.0,140.7,420.7,-17.371764253399927,-66.16288974092858
2024-05-08 21:57:57,339,11.69,car,0.708,756.9,287.4,854.9,356.4,98.0,69.0,805.9,321.9,-17.37274418095901,-66.16204572822546
